,artist,album_name,rating,album_link,genre,Unnamed: 0
1933,['Mumford & Sons'],['Delta'],['5.8'],['https://pitchfork.com/reviews/albums/mumford-and-sons-delta/'],['rock'],
1934,['The Smashing Pumpkins'],"['Shiny and Oh So Bright, Vol. 1 / LP: No Past. No Future. No Sun.']",['3.4'],['https://pitchfork.com/reviews/albums/the-smashing-pumpkins-shiny-and-oh-so-bright-vol-1-lp-no-past-no-future-no-sun/'],['rock'],
1935,['Marianne Faithfull'],['Negative Capability'],['8.0'],['https://pitchfork.com/reviews/albums/marianne-faithfull-negative-capability/'],['rock'],
1936,['The Men'],['Hated: 2008-2011'],['7.4'],['https://pitchfork.com/reviews/albums/the-men-hated-2008-2011/'],['rock'],
1937,['Muse'],['Simulation Theory'],['6.0'],['https://pitchfork.com/reviews/albums/muse-simulation-theory/'],['rock'],
1938,['The Glands'],['I Can See My House From Here'],['8.5'],['https://pitchfork.com/reviews/albums/the-glands-i-can-see-my-house-from-here/'],['rock'],
1939,['Imagine Dragons'],['Origins'],['5.3'],['https://pitchfork.com/reviews/albums/imagine-dragons-origins/'],['rock'],
1940,['David Lynch'],['Thought Gang'],['6.2'],['https://pitchfork.com/reviews/albums/david-lynch-angelo-badalamenti-thought-gang/'],['rock'],
1941,['Laura Jane Grace'],['Bought to Rot'],['5.6'],['https://pitchfork.com/reviews/albums/laura-jane-grace-and-the-devouring-mothers-bought-to-rot/'],['rock'],
1942,['J Mascis'],['Elastic Days'],['7.3'],['https://pitchfork.com/reviews/albums/j-mascis-elastic-days/'],['rock'],
1943,['Rosanne Cash'],['She Remembers Everything'],['7.6'],['https://pitchfork.com/reviews/albums/rosanne-cash-she-remembers-everything/'],['rock'],
1944,['Daughters'],['You Won’t Get What You Want'],['8.0'],['https://pitchfork.com/reviews/albums/daughters-you-wont-get-what-you-want/'],['rock'],
1945,['Nicole Dollanganger'],['Heart Shaped Bed'],['6.0'],['https://pitchfork.com/reviews/albums/nicole-dollanganger-heart-shaped-bed/'],['rock'],
1946,['Bob Dylan'],"['More Blood, More Tracks: The Bootleg Series Vol. 14']",['8.5'],['https://pitchfork.com/reviews/albums/bob-dylan-more-blood-more-tracks-the-bootleg-series-vol-14/'],['rock'],
1947,['IAN SWEET'],['Crush Crusher'],['6.5'],['https://pitchfork.com/reviews/albums/ian-sweet-crush-crusher/'],['rock'],
1948,['Miya Folick  '],['Premonitions'],['8.1'],['https://pitchfork.com/reviews/albums/miya-folick-premonitions/'],['rock'],
1949,['R.E.M.'],['R.E.M. at the BBC'],['7.4'],['https://pitchfork.com/reviews/albums/rem-rem-at-the-bbc/'],['rock'],
1950,['Saves the Day'],['9'],['3.5'],['https://pitchfork.com/reviews/albums/saves-the-day-9/'],['rock'],
1951,['Unknown Mortal Orchestra'],['IC-01 Hanoi'],['6.5'],['https://pitchfork.com/reviews/albums/unknown-mortal-orchestra-ic-01-hanoi/'],['rock'],
1952,['Thom Yorke'],['Suspiria (Music for the Luca Guadagnino Film)'],['8.0'],['https://pitchfork.com/reviews/albums/thom-yorke-suspiria-music-for-the-luca-guadagnino-film/'],['rock'],
1953,['Peter Bjorn and John'],['Darker Days'],['6.8'],['https://pitchfork.com/reviews/albums/peter-bjorn-and-john-darker-days/'],['rock'],
1954,['Boygenius'],['Boygenius EP'],['8.3'],['https://pitchfork.com/reviews/albums/boygenius-boygenius-ep/'],['rock'],
1955,['Queen'],['Bohemian Rhapsody OST'],['4.5'],['https://pitchfork.com/reviews/albums/queen-bohemian-rhapsody-ost/'],['rock'],
1956,['Lil Yachty'],['Nuthin’ 2 Prove'],['6.1'],['https://pitchfork.com/reviews/albums/lil-yachty-nuthin-2-prove/'],['rock'],
1957,['Will Oldham'],['Songs of Love and Horror'],['7.1'],['https://pitchfork.com/reviews/albums/will-oldham-songs-of-love-and-horror/'],['rock'],
1958,['Greta Van Fleet'],['Anthem of the Peaceful Army'],['1.6'],['https://pitchfork.com/reviews/albums/greta-van-fleet-anthem-of-the-peaceful-army/'],['rock'],
1959,['GØGGS'],['Pre Strike Sweep'],['7.2'],['https://pitchfork.com/reviews/albums/goggs-pre-strike-sweep/'],['rock'],
1960,['Talking Heads'],['Remain in Light'],['10'],['https://pitchfork.com/reviews/albums/talking-heads-remain-in-light/'],['rock'],
1961,['David Bowie'],['Loving the Alien (1983-1988)'],['7.1'],['https://pitchfork.com/reviews/albums/david-bowie-loving-the-alien-1983-1988/'],['rock'],
1962,['Young Jesus'],['The Whole Thing Is Just There'],['8.1'],['https://pitchfork.com/reviews/albums/young-jesus-the-whole-thing-is-just-there/'],['rock'],
1963,['Cloud Nothings'],['Last Building Burning'],['7.6'],['https://pitchfork.com/reviews/albums/cloud-nothings-last-building-burning/'],['rock'],
1964,['Cocteau Twins'],['Treasure Hiding: The Fontana Years'],['8.0'],['https://pitchfork.com/reviews/albums/cocteau-twins-treasure-hiding-the-fontana-years/'],['rock'],
1965,['Calvin Johnson'],['A Wonderful Beast'],['7.8'],['https://pitchfork.com/reviews/albums/calvin-johnson-a-wonderful-beast/'],['rock'],
1966,['Elvis Costello'],['Look Now'],['8.0'],['https://pitchfork.com/reviews/albums/elvis-costello-the-imposters-look-now/'],['rock'],
1967,['The Dodos'],['Certainty Waves'],['6.4'],['https://pitchfork.com/reviews/albums/the-dodos-certainty-waves/'],['rock'],
1968,['Yowler'],['Black Dog in My Path'],['7.6'],['https://pitchfork.com/reviews/albums/yowler-black-dog-in-my-path/'],['rock'],
1969,['St. Vincent'],['MassEducation'],['7.2'],['https://pitchfork.com/reviews/albums/st-vincent-masseducation/'],['rock'],
1970,['mewithoutYou'],['[Untitled]'],['7.5'],['https://pitchfork.com/reviews/albums/mewithoutyou-untitled/'],['rock'],
1971,['Connan Mockasin'],['Jassbusters'],['6.7'],['https://pitchfork.com/reviews/albums/connan-mockasin-jassbusters/'],['rock'],
1972,['The B-52’s'],['The B-52’s'],['9.0'],['https://pitchfork.com/reviews/albums/the-b-52s-the-b-52s/'],['rock'],
1973,['Kurt Vile'],['Bottle It In'],['7.0'],['https://pitchfork.com/reviews/albums/kurt-vile-bottle-it-in/'],['rock'],
1974,['Adrianne Lenker'],['abysskiss'],['8.0'],['https://pitchfork.com/reviews/albums/adrianne-lenker-abysskiss/'],['rock'],
1975,['David Nance Group'],['Peaced and Slightly Pulverized'],['7.7'],['https://pitchfork.com/reviews/albums/david-nance-group-peaced-and-slightly-pulverized/'],['rock'],
1976,['Bikini Kill'],['The Singles'],['10'],['https://pitchfork.com/reviews/albums/bikini-kill-the-singles/'],['rock'],
1977,['Cursive'],['Vitriola'],['6.8'],['https://pitchfork.com/reviews/albums/cursive-vitriola/'],['rock'],
1978,['Swearin’'],['Fall Into the Sun'],['7.4'],['https://pitchfork.com/reviews/albums/swearin-fall-into-the-sun/'],['rock'],
1979,['Phosphorescent'],['C’est La Vie'],['7.6'],['https://pitchfork.com/reviews/albums/phosphorescent-cest-la-vie/'],['rock'],
1980,['Fucked Up'],['Dose Your Dreams'],['7.3'],['https://pitchfork.com/reviews/albums/fucked-up-dose-your-dreams/'],['rock'],
1981,['The Joy Formidable'],['AAARTH'],['6.9'],['https://pitchfork.com/reviews/albums/the-joy-formidable-aaarth/'],['rock'],
1982,['Madeline Kenney'],['Perfect Shapes'],['7.2'],['https://pitchfork.com/reviews/albums/madeline-kenney-perfect-shapes/'],['rock'],
1983,['Cat Power'],['Wanderer'],['7.4'],['https://pitchfork.com/reviews/albums/cat-power-wanderer/'],['rock'],
1984,['Tom Petty'],['An American Treasure'],['8.3'],['https://pitchfork.com/reviews/albums/tom-petty-an-american-treasure/'],['rock'],
1985,['Fred Thomas'],['Aftering'],['7.5'],['https://pitchfork.com/reviews/albums/fred-thomas-aftering/'],['rock'],
1986,['Lala Lala '],['The Lamb'],['7.5'],['https://pitchfork.com/reviews/albums/lala-lala-the-lamb/'],['rock'],
1987,['Mount Eerie'],['(after)'],['8.1'],['https://pitchfork.com/reviews/albums/mount-eerie-after/'],['rock'],
1988,['Viagra Boys'],['Street Worms'],['7.4'],['https://pitchfork.com/reviews/albums/viagra-boys-street-worms/'],['rock'],
1989,['Mudhoney'],['Digital Garbage'],['7.1'],['https://pitchfork.com/reviews/albums/mudhoney-digital-garbage/'],['rock'],
1990,['Pinegrove'],['Skylight'],['7.5'],['https://pitchfork.com/reviews/albums/pinegrove-skylight/'],['rock'],
1991,['Joe Strummer'],['Joe Strummer 001'],['8.0'],['https://pitchfork.com/reviews/albums/joe-strummer-joe-strummer-001/'],['rock'],
