,artist,album_name,rating,album_link,genre,Unnamed: 0
216,['Jennifer Vanilla'],['Castle in the Sky'],['7.0'],['https://pitchfork.com/reviews/albums/jennifer-vanilla-castle-in-the-sky/'],['experimental'],
217,['Carlos Niño & Friends'],['Extra Presence'],['7.8'],['https://pitchfork.com/reviews/albums/carlos-nino-and-friends-extra-presence/'],['experimental'],
218,['quinn'],['quinn'],['7.9'],['https://pitchfork.com/reviews/albums/quinn-quinn/'],['experimental'],
219,['Rusty Santos'],['High Reality'],['6.8'],['https://pitchfork.com/reviews/albums/rusty-santos-high-reality/'],['experimental'],
220,['Trent Reznor'],['The Social Network'],['8.7'],['https://pitchfork.com/reviews/albums/trent-reznor-atticus-ross-the-social-network/'],['experimental'],
221,['M. Geddes Gengras'],"['Expressed, I Noticed Silence']",['7.4'],['https://pitchfork.com/reviews/albums/m-geddes-gengras-expressed-i-noticed-silence/'],['experimental'],
222,['Cheri Knight'],['American Rituals'],['7.4'],['https://pitchfork.com/reviews/albums/cheri-knight-american-rituals/'],['experimental'],
223,['Scarcity'],['Aveilut'],['7.6'],['https://pitchfork.com/reviews/albums/scarcity-aveilut/'],['experimental'],
224,['Madeleine Cocolas'],['Spectral'],['7.2'],['https://pitchfork.com/reviews/albums/madeleine-cocolas-spectral/'],['experimental'],
225,['Nick Dunston '],['Spider Season'],['7.2'],['https://pitchfork.com/reviews/albums/nick-dunston-spider-season/'],['experimental'],
226,['Kali Malone'],['Living Torch'],['8.0'],['https://pitchfork.com/reviews/albums/kali-malone-living-torch/'],['experimental'],
227,['Johnny Gandelsman'],['This Is America'],['7.5'],['https://pitchfork.com/reviews/albums/johnny-gandelsman-this-is-america/'],['experimental'],
228,['Wu-Lu'],['LOGGERHEAD'],['7.3'],['https://pitchfork.com/reviews/albums/wu-lu-loggerhead/'],['experimental'],
229,['Moor Mother'],['Jazz Codes'],['7.7'],['https://pitchfork.com/reviews/albums/moor-mother-jazz-codes/'],['experimental'],
230,['Caterina Barbieri'],['Spirit Exit'],['7.6'],['https://pitchfork.com/reviews/albums/caterina-barbieri-spirit-exit/'],['experimental'],
231,['Mat Ball'],['Amplified Guitar'],['7.2'],['https://pitchfork.com/reviews/albums/mat-ball-amplified-guitar/'],['experimental'],
232,['Félicia Atkinson'],['Image Langage'],['7.6'],['https://pitchfork.com/reviews/albums/felicia-atkinson-image-language/'],['experimental'],
233,['Anteloper'],['Pink Dolphins'],['7.6'],['https://pitchfork.com/reviews/albums/anteloper-pink-dolphins/'],['experimental'],
234,['John Luther Adams'],['Houses of the Wind'],['7.8'],['https://pitchfork.com/reviews/albums/john-luther-adams-houses-of-the-wind/'],['experimental'],
235,['Max Richter'],['The New Four Seasons - Vivaldi Recomposed'],['6.8'],['https://pitchfork.com/reviews/albums/max-richter-the-new-four-seasons-vivaldi-recomposed/'],['experimental'],
236,['Diatom Deli'],['Time~Lapse Nature'],['7.2'],['https://pitchfork.com/reviews/albums/diatom-deli-timelapse-nature/'],['experimental'],
237,['Toshiya Tsunoda'],['Landscape and Voice'],['7.6'],['https://pitchfork.com/reviews/albums/toshiya-tsunoda-landscape-and-voice/'],['experimental'],
238,['700 Bliss'],['Nothing to Declare'],['8.3'],['https://pitchfork.com/reviews/albums/700-bliss-nothing-to-declare/'],['experimental'],
239,['Jules Reidy'],['World in World'],['7.6'],['https://pitchfork.com/reviews/albums/julia-reidy-world-in-world/'],['experimental'],
240,['Lucy Liyou'],['Welfare / Practice'],['7.7'],['https://pitchfork.com/reviews/albums/lucy-liyou-welfare-practice/'],['experimental'],
241,['¥ØU$UK€ ¥UK1MAT$U'],['Midnight Is Comin’'],['7.7'],['https://pitchfork.com/reviews/albums/yousuke-yukimatsu-midnight-is-comin/'],['experimental'],
242,['Maria BC'],['Hyaline'],['8.1'],['https://pitchfork.com/reviews/albums/maria-bc-hyaline/'],['experimental'],
243,['Sofie Birch'],['Holotropica'],['8.0'],['https://pitchfork.com/reviews/albums/sofie-birch-holotropica/'],['experimental'],
244,['Andrew Bernstein'],['a presentation'],['7.0'],['https://pitchfork.com/reviews/albums/andrew-bernstein-a-presentation/'],['experimental'],
245,['Matmos'],['Regards / Ukłony dla Bogusław Schaeffer\xa0'],['7.2'],['https://pitchfork.com/reviews/albums/matmos-regards-uklony-dla-boguslaw-schaefferandnbsp/'],['experimental'],
246,['Zimoun'],['Guitar Studies I-III'],['7.8'],['https://pitchfork.com/reviews/albums/zimoun-guitar-studies-i-iii/'],['experimental'],
247,['Joe Rainey'],['Niineta'],['8.0'],['https://pitchfork.com/reviews/albums/joe-rainey-niineta/'],['experimental'],
248,['Mary Lattimore'],['West Kensington'],['6.8'],['https://pitchfork.com/reviews/albums/mary-lattimore-paul-sukeena-west-kensington/'],['experimental'],
249,['Dean Spunt'],['The Echoing Shell'],['7.5'],['https://pitchfork.com/reviews/albums/dean-spunt-john-wiese-the-echoing-shell/'],['experimental'],
250,['Ben Vida'],['Murmurations // Winds Bells Falls'],['7.1'],['https://pitchfork.com/reviews/albums/robbie-lee-lea-bertucci-murmurations-winds-bells-falls/'],['experimental'],
251,['Oren Ambarchi'],['Ghosted'],['8.0'],['https://pitchfork.com/reviews/albums/oren-ambarchi-johan-berthling-andrea-ghosted/'],['experimental'],
252,['SCALPING'],['Void'],['6.8'],['https://pitchfork.com/reviews/albums/scalping-void/'],['experimental'],
253,['William Basinski'],['. . . On Reflection'],['8.0'],['https://pitchfork.com/reviews/albums/william-basinski-janek-schaefer-on-reflection/'],['experimental'],
254,['KMRU'],['Limen'],['7.2'],['https://pitchfork.com/reviews/albums/kmru-aho-ssan-limen/'],['experimental'],
255,['Organ Tapes'],['唱着那无人问津的歌谣 / Chang Zhe Na Wu Ren Wen Jin De Ge Yao'],['7.7'],['https://pitchfork.com/reviews/albums/organ-tapes-chang-zhe-na-wu-ren-wen-jin-de-ge-yao/'],['experimental'],
256,['claire rousay'],['everything perfect is already here'],['7.5'],['https://pitchfork.com/reviews/albums/claire-rousay-everything-perfect-is-already-here/'],['experimental'],
257,['Green-House'],['Solar Editions'],['6.2'],['https://pitchfork.com/reviews/albums/green-house-solar-editions/'],['experimental'],
