,artist,album_name,rating,album_link,genre,Unnamed: 0
45,['Boris'],['W'],['7.8'],['https://pitchfork.com/reviews/albums/boris-w/'],['metal'],
46,['Fucked Up'],"['Epics in Minutes / Demo 7""']",['7.3'],['https://pitchfork.com/reviews/albums/fucked-up-epics-in-minutes-demo-7/'],['metal'],
47,['Dream Unending'],['Tide Turns Eternal'],['7.8'],['https://pitchfork.com/reviews/albums/dream-unending-tide-turns-eternal/'],['metal'],
48,['SeeYouSpaceCowboy'],['The Romance of Affliction'],['7.6'],['https://pitchfork.com/reviews/albums/seeyouspacecowboy-the-romance-of-affliction/'],['metal'],
49,['Cynic'],['Ascension Codes'],['6.9'],['https://pitchfork.com/reviews/albums/cynic-ascension-codes/'],['metal'],
50,['Converge'],['Bloodmoon: I'],['5.3'],['https://pitchfork.com/reviews/albums/converge-bloodmoon-i/'],['metal'],
51,['200 Stab Wounds'],['Slave to the Scalpel'],['6.8'],['https://pitchfork.com/reviews/albums/200-stab-wounds-slave-to-the-scalpel/'],['metal'],
52,['Mortiferum'],['Preserved in Torment'],['7.5'],['https://pitchfork.com/reviews/albums/mortiferum-preserved-in-torment/'],['metal'],
53,['Mastodon'],['Hushed and Grim'],['5.7'],['https://pitchfork.com/reviews/albums/mastodon-hushed-and-grim/'],['metal'],
54,['Knocked Loose'],['A Tear in the Fabric of Life'],['7.5'],['https://pitchfork.com/reviews/albums/knocked-loose-a-tear-in-the-fabric-of-life/'],['metal'],
55,['Full of Hell'],['Garden of Burning Apparitions'],['7.4'],['https://pitchfork.com/reviews/albums/full-of-hell-garden-of-burning-apparitions/'],['metal'],
56,['Ozzy Osbourne'],['No More Tears'],['8.1'],['https://pitchfork.com/reviews/albums/ozzy-osbourne-no-more-tears/'],['metal'],
57,['Metallica'],['The Metallica Blacklist'],['6.0'],['https://pitchfork.com/reviews/albums/metallica-the-metallica-blacklist/'],['metal'],
58,['Iron Maiden'],['Senjutsu'],['7.4'],['https://pitchfork.com/reviews/albums/iron-maiden-senjutsu/'],['metal'],
59,['Ænigmatum'],['Deconsecrate'],['7.3'],['https://pitchfork.com/reviews/albums/aenigmatum-deconsecrate/'],['metal'],
60,['Wolves in the Throne Room'],['Primordial Arcana'],['5.5'],['https://pitchfork.com/reviews/albums/wolves-in-the-throne-room-primordial-arcana/'],['metal'],
61,['Deafheaven'],['Infinite Granite'],['6.5'],['https://pitchfork.com/reviews/albums/deafheaven-infinite-granite/'],['metal'],
62,['Descendents'],['9th & Walnut'],['7.1'],['https://pitchfork.com/reviews/albums/descendents-9th-and-walnut/'],['metal'],
63,['King Woman'],['Celestial Blues'],['7.5'],['https://pitchfork.com/reviews/albums/king-woman-celestial-blues/'],['metal'],
64,['At the Gates'],['The Nightmare of Being'],['7.5'],['https://pitchfork.com/reviews/albums/at-the-gates-the-nightmare-of-being/'],['metal'],
65,['Fucked Up'],['Year of the Horse'],['7.8'],['https://pitchfork.com/reviews/albums/fucked-up-year-of-the-horse/'],['metal'],
66,['Anaal Nathrakh'],['The Codex Necro'],['8.0'],['https://pitchfork.com/reviews/albums/anaal-nathrakh-the-codex-necro/'],['metal'],
67,['Portal'],['Avow'],['7.6'],['https://pitchfork.com/reviews/albums/portal-avow/'],['metal'],
68,['Growing'],['Diptych'],['7.4'],['https://pitchfork.com/reviews/albums/growing-diptych/'],['metal'],
69,['Cannibal Corpse'],['Violence Unimagined'],['7.3'],['https://pitchfork.com/reviews/albums/cannibal-corpse-violence-unimagined/'],['metal'],
70,['Eyehategod'],['A History of Nomadic Behavior'],['7.2'],['https://pitchfork.com/reviews/albums/eyehategod-a-history-of-nomadic-behavior/'],['metal'],
71,['Mare Cognitum'],['Solar Paroxysm'],['7.5'],['https://pitchfork.com/reviews/albums/mare-cognitum-solar-paroxysm/'],['metal'],
72,['Thirdface'],['Do It With a Smile'],['8.0'],['https://pitchfork.com/reviews/albums/thirdface-do-it-with-a-smile/'],['metal'],
73,['Black Sabbath'],['Vol. 4 (Super Deluxe)'],['9.0'],['https://pitchfork.com/reviews/albums/black-sabbath-vol-4-super-deluxe/'],['metal'],
74,['For Your Health'],['In Spite Of'],['7.6'],['https://pitchfork.com/reviews/albums/for-your-health-in-spite-of/'],['metal'],
75,['The Body'],['I’ve Seen All I Need to See'],['8.0'],['https://pitchfork.com/reviews/albums/the-body-ive-seen-all-i-need-to-see/'],['metal'],
76,['Joan of Arc'],['Tim Melina Theo Bobby'],['7.4'],['https://pitchfork.com/reviews/albums/joan-of-arc-tim-melina-theo-bobby/'],['metal'],
77,['Eternal Champion'],['Ravening Iron'],['7.6'],['https://pitchfork.com/reviews/albums/eternal-champion-ravening-iron/'],['metal'],
78,['Liturgy'],['Origin of the Alimonies'],['7.8'],['https://pitchfork.com/reviews/albums/liturgy-origin-of-the-alimonies/'],['metal'],
79,['Undeath'],['Lesions of a Different Kind'],['8.0'],['https://pitchfork.com/reviews/albums/undeath-lesions-of-a-different-kind/'],['metal'],
80,['Ilsa'],['Preyer'],['7.3'],['https://pitchfork.com/reviews/albums/ilsa-preyer/'],['metal'],
81,['Chavez'],['Gone Glimmering'],['8.6'],['https://pitchfork.com/reviews/albums/chavez-gone-glimmering/'],['metal'],
82,['Emma Ruth Rundle'],['May Our Chambers Be Full'],['6.9'],['https://pitchfork.com/reviews/albums/emma-ruth-rundle-thou-may-our-chambers-be-full/'],['metal'],
83,['Salem'],['Fires in Heaven'],['7.0'],['https://pitchfork.com/reviews/albums/salem-fires-in-heaven/'],['metal'],
84,['Pallbearer'],['Forgotten Days'],['8.0'],['https://pitchfork.com/reviews/albums/pallbearer-forgotten-days/'],['metal'],
85,['Sumac'],['May You Be Held'],['7.8'],['https://pitchfork.com/reviews/albums/sumac-may-you-be-held/'],['metal'],
86,['Deftones'],['Ohms'],['7.6'],['https://pitchfork.com/reviews/albums/deftones-ohms/'],['metal'],
87,['Metallica'],['S&M2'],['5.2'],['https://pitchfork.com/reviews/albums/metallica-san-francisco-symphony-sandm2/'],['metal'],
88,['Gulch'],['Impenetrable Cerebral Fortress'],['7.9'],['https://pitchfork.com/reviews/albums/gulch-impenetrable-cerebral-fortress/'],['metal'],
89,['Inter Arma'],['Garbers Days Revisited'],['7.5'],['https://pitchfork.com/reviews/albums/inter-arma-garbers-days-revisited/'],['metal'],
90,['Inexorum'],['Moonlit Navigation'],['7.7'],['https://pitchfork.com/reviews/albums/inexorum-moonlit-navigation/'],['metal'],
91,['Boris'],['NO'],['7.7'],['https://pitchfork.com/reviews/albums/boris-no/'],['metal'],
92,['Redd Kross'],['Red Cross EP / Phaseshifter / Show World'],['6.6'],['https://pitchfork.com/reviews/albums/redd-kross-red-cross-ep-phaseshifter-show-world/'],['metal'],
93,['Ulthar'],['Providence'],['7.5'],['https://pitchfork.com/reviews/albums/ulthar-providence/'],['metal'],
94,['Infant Island'],['Beneath'],['7.9'],['https://pitchfork.com/reviews/albums/infant-island-beneath/'],['metal'],
95,['Code Orange'],['Underneath'],['4.5'],['https://pitchfork.com/reviews/albums/code-orange-underneath/'],['metal'],
96,['Machine Girl'],['U-Void Synthesizer'],['7.8'],['https://pitchfork.com/reviews/albums/machine-girl-u-void-synthesizer/'],['metal'],
97,['Ozzy Osbourne'],['Ordinary Man'],['6.5'],['https://pitchfork.com/reviews/albums/ozzy-osbourne-ordinary-man/'],['metal'],
98,['Type O Negative'],['Bloody Kisses'],['8.7'],['https://pitchfork.com/reviews/albums/type-o-negative-bloody-kisses/'],['metal'],
99,['Loathe'],['I Let It In and It Took Everything'],['7.8'],['https://pitchfork.com/reviews/albums/loathe-i-let-it-in-and-it-took-everything/'],['metal'],
100,['Blood Incantation'],['Hidden History of the Human Race'],['8.3'],['https://pitchfork.com/reviews/albums/blood-incantation-hidden-history-of-the-human-race/'],['metal'],
101,['Liturgy'],['H.A.Q.Q.'],['7.6'],['https://pitchfork.com/reviews/albums/liturgy-haqq/'],['metal'],
102,['dead prez'],['Let’s Get Free'],['8.2'],['https://pitchfork.com/reviews/albums/dead-prez-lets-get-free/'],['metal'],
103,['Sunn O)))'],['Pyroclasts'],['8.0'],['https://pitchfork.com/reviews/albums/sunn-o-pyroclasts/'],['metal'],
104,['Babymetal'],['Metal Galaxy'],['4.7'],['https://pitchfork.com/reviews/albums/babymetal-metal-galaxy/'],['metal'],
105,['Boris'],['LφVE & EVφL'],['5.8'],['https://pitchfork.com/reviews/albums/boris-love-and-evol/'],['metal'],
