,album_name,artist_name,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre,rating
0,Are You Happy Now?,Jensen McRae,0.5485611803106764,0.4211902563076277,5.3049961055632915,-7.566951306292392,0.7708746340031393,0.5327333555540524,0.0002833353394993505,0.1826146020806124,0.4218413691681944,107.8856789694142,217751.28966241475,3.74350549509552,rock,7.7
1,Dark Matters,Maneka,0.4332893612970742,0.6125110381585859,2.900188106094272,-10.116648172426713,1.0,0.19132046797962765,0.22726201955882783,0.24851880950259522,0.3861602382787878,127.20226732593268,204911.97028211487,3.8558733208667157,rock,7.2
2,Broken Equipment,Bodega,0.6362449911867691,0.7645732119752248,5.108287921043588,-7.191106063233545,0.6798627574880788,0.06368434532819585,0.09432116875376326,0.18603324029158885,0.6393216306614912,137.1819529331509,220078.25404988936,4.052887699010353,rock,6.4
3,Hygiene,Drug Church,0.4463471149944854,0.9732303534340497,4.798768698580689,-3.418294003691619,0.8819240862545947,0.003470435901782886,0.00022261987619680756,0.4352379703337124,0.34792169057583283,133.52968610766646,169270.62576996023,4.0,rock,7.4
4,Oxy Music,Alex Cameron,0.7139262725037199,0.5705250568363338,5.914792394726995,-9.082314844956734,1.0,0.2602645309524763,0.07053796038084985,0.1812844543467705,0.6699644327162345,110.61140928413086,240273.66701870837,4.0,rock,5.0
5,Mark VI,Tony Price,0.6323101496411301,0.7804107201065833,4.806685158521036,-7.882098366219091,0.7186577885198141,0.18404223557954016,0.8598816450700996,0.251402795820619,0.34164513963677434,111.96166143100646,194106.48716889115,3.800583496080866,rock,6.8
6,The Great Regression,Ditz,0.3969389984964973,0.732974872464891,2.6494356940733104,-10.31937516747532,0.8351036147531476,0.08883496562078029,0.2433269287103361,0.296008816609875,0.2001082201110447,150.1417651590058,252245.04507356658,4.0,rock,7.3
7,Keep On With Falling,The Boo Radleys,0.5006757897354132,0.5976338102266987,3.5076376610255116,-8.543724185005685,0.7875726193483202,0.09617030543934707,0.0015810782847625663,0.21811307953397324,0.5563403057116697,125.81339456223162,236649.8490117454,3.8841354350846173,rock,6.2
8,The Bed Is in the Ocean,Karate,0.5230317728847516,0.37033817709125727,6.165791322673165,-11.878909864925255,0.4424442361014489,0.31281501538949663,0.07212923266639013,0.20094650302350187,0.3773081245532798,145.39359637431173,280649.39803596993,4.0,rock,8.6
9,Things Are Great,Band of Horses,0.45985630843245745,0.6761111534496894,4.644799352179343,-6.766364804411258,1.0,0.1929728701162416,0.03993330118035736,0.19823208158855066,0.419988847398878,140.6955823548879,249501.50293543734,3.8966901423532554,rock,7.3
10,Squeeze,SASAMI,0.4698260810881665,0.7712509786780307,4.572956871718813,-6.537812173244052,0.8592821660749521,0.02776072170420018,0.44848671450530364,0.1638184486194683,0.5357615273243376,121.44167512198109,185730.21224841315,4.048175721309459,rock,7.2
11,Duality,Luna Li,0.47403943758517353,0.5291111222315543,5.7949393450176965,-7.534242623197263,0.6489315115051651,0.40917594144310493,0.045061744210161674,0.16034039732935065,0.36829566881431935,128.93215460933743,203163.55400858843,4.0,rock,7.3
12,Love on My Mind,Bambara,0.44532523173496447,0.768488380923621,5.568918027003169,-6.16477609031852,0.26836183318969414,0.023482974123271563,0.19899658399378703,0.26347242165186796,0.3563083306486635,115.29205317589582,233007.2676442602,3.764494040033098,rock,7.5
13,Ballad of a Tryhard,Scott Hardware,0.32451121845284414,0.5138019634706975,4.577042183369482,-11.132838025395012,0.7399629270904043,0.265692950110929,0.1709904257321796,0.19200428611538825,0.37862289973067986,112.64683957757303,296828.3126969541,3.7665248320888316,rock,7.4
14,The Tipping Point,Tears for Fears,0.4368617714040096,0.6545410450387812,2.9971063997800895,-7.1880768809679525,0.6823882465875928,0.2549944176364108,0.03956367765098887,0.15481427868618436,0.37992266206501124,126.76041612354312,264957.6576864648,3.7894805558952878,rock,7.5
15,Wild Loneliness,Superchunk,0.5155901725199581,0.8407896872603139,3.8800700018364678,-6.478143966122568,1.0,0.03270829667560415,0.004023063145675118,0.22472540224049092,0.5221704445332671,129.76360921129105,241293.44815780662,4.0,rock,7.9
16,caroline,caroline,0.3482195652828017,0.06831995849582355,2.606484258998829,-21.56616919617219,0.6634064403032424,0.8946113091881921,0.2916309228746542,0.11208701999594456,0.04863985829501377,129.6442837527227,567238.7232472314,3.8741808334587033,rock,8.0
17,"I’m Not Sorry, I Was Just Being Me",King Hannah,0.4945083850412695,0.40117392982736566,4.733899093234132,-11.812587356501396,0.6574750058126018,0.43980372308038823,0.35803576841068935,0.15554079658073702,0.24740488570971864,100.72475280240059,281020.6358346896,3.955742487212276,rock,7.4
18,angel in realtime.,Gang of Youths,0.45685645135548975,0.631859434591911,4.485046214698605,-9.376061104819092,0.9395516855290744,0.32172067120089215,0.038586164438785354,0.1572938212118256,0.4379264394639447,127.66692045075185,323020.62479308934,4.0,rock,6.8
19,Everything Was Forever,Sea Power,0.36578692383984185,0.6259817338944834,5.316640602654443,-11.717225311932363,0.5680285577376685,0.1704951756260006,0.43198441378260005,0.28152586455133366,0.40141098848849777,127.25235198488906,274642.578597298,3.788402319387539,rock,7.4
20,Suburban Lawns,Suburban Lawns,0.541860128280071,0.7199976525862073,5.642327480317993,-9.992151008715435,0.5540293150828234,0.04818724242048022,0.005989106336258404,0.1651296135676379,0.7325034708271758,129.26325526745512,132564.99808367345,4.0,rock,8.5
21,Life on Earth,Hurray for the Riff Raff,0.47023716117372644,0.4928185599670748,5.467967137782505,-9.445760737848223,0.763271966298055,0.6194426964874998,0.035972896494055114,0.11589097488036788,0.3201920351191923,111.40656581239061,242817.40956293515,4.126379389172993,rock,8.3
22,Bobby Weir & Wolf Bros: Live in Colorado,Bob Weir,0.43787044730548397,0.6188381874485114,6.907591427418358,-8.249908575771551,0.5562176159938326,0.09843753995875344,0.07386485659919084,0.7669370406659871,0.380196011667246,112.78296599248458,696849.8055186658,3.8787484773330223,rock,6.8
23,B Flat A,Trupa Trupa,0.4996214561112108,0.5996410598736741,6.526408927713635,-10.505788010867322,0.6378116316297188,0.51886633966097,0.8279535730444341,0.1340532300702135,0.2886952072614025,119.36162001763518,231601.06435751342,3.927574455423168,rock,7.5
24,Once Twice Melody,Beach House,0.3772420066807693,0.6978335495461501,4.916569359410693,-7.950819159363782,0.7416660249541167,0.30021490843533283,0.7217703814707028,0.15551329132758476,0.22742244797155484,132.27499932605414,291769.2348734894,4.006793421799727,rock,7.8
25,Harold and Maude (Original Motion Picture Soundtrack),Yusuf / Cat Stevens,0.5354174715255726,0.43188206837511056,5.659416008745926,-10.261889385140003,0.8560239652977485,0.6623533567965308,0.03238906262136471,0.1605692189257052,0.4633410275421107,125.02800937971939,183519.80100281062,3.868293280413008,rock,8.4
26,Visitor,Empath,0.31988777430964827,0.8280020387099717,6.288886017381428,-7.2143622567732155,1.0,0.4343194710104129,0.7030388456482093,0.2082861799352934,0.27049416076544736,126.494651259521,187274.84393417274,4.0,rock,6.6
27,Lucifer on the Sofa,Spoon,0.6719471427595859,0.6337634948173159,5.438211911313042,-7.475093196252181,0.5839965664879891,0.3324669851223124,0.10085914377442552,0.14025176481825813,0.6017373562130403,119.35323607210375,239134.45361257848,3.902529146385001,rock,7.4
28,Earthling,Eddie Vedder,0.49504592423776905,0.8127254425381782,5.610539354566658,-4.849654248387318,0.8845437086859756,0.037331033058016314,0.0590186614957142,0.1560377191710944,0.4325274043193029,132.9414756271964,235561.74880934463,3.9555977620464775,rock,6.7
29,W,Boris,0.296,0.931,2.0,-5.91,1.0,0.000341,0.000364,0.183,0.404,176.082,206250.0,4.0,rock,7.8
30,Dragon New Warm Mountain I Believe in You,Big Thief,0.5129171094657314,0.5547885249693078,6.399953868765134,-8.953054660746837,0.7901246413742051,0.5473875236562463,0.13400981820353036,0.17719811446348918,0.543437079979873,128.02136227298087,255458.81104596463,3.903098709237272,rock,9.0
31,The Highest in the Land,The Jazz Butcher,0.5669325966947604,0.4247940692466687,6.400815615717496,-13.970905458365525,0.6177355623940953,0.45024586845050535,0.17942949521619764,0.154170242472126,0.5333354677137131,120.28197236337724,249753.7509712345,3.890763085160717,rock,7.5
32,IRÉ,Combo Chimbita,0.5341170709342022,0.6529384595150981,4.273657733751514,-7.616459241101029,0.250981731698362,0.04943102898560785,0.19535877792280953,0.16943698058821705,0.5211388182686669,126.41782776650331,241695.55142761636,3.7699103664072218,rock,7.3
33,Ants From Up There,"Black Country, New Road",0.387552578196043,0.3786437209102111,6.031140782754801,-10.608522271149472,1.0,0.258742407011087,0.10526602019204818,0.11286773673194107,0.16769704522084236,109.5998485075301,454586.60780189023,3.3673650056795443,rock,8.4
34,Pompeii,Cate Le Bon,0.6388226338996952,0.4753598222703233,4.6736052367301335,-8.754061558943384,0.6715632901589551,0.5984036051713939,0.2651874263448388,0.16554249036003674,0.4652877753389888,101.55103487143576,292888.29087995866,4.0,rock,8.5
35,Let The Festivities Begin!,Los Bitchos,0.4931777899789155,0.7818591076117848,6.2210142595797056,-7.707552358557435,0.5464652578852978,0.11565971438536643,0.6167230801772267,0.19887887651523506,0.7127644889885982,129.87060689464292,205006.77555417042,4.0,rock,5.9
36,Junkyard,The Birthday Party,0.28838868339036494,0.6507805066603025,3.49344510040247,-14.23533635911452,0.8319852449983837,0.005962401068581358,0.37225356145255817,0.22402084066424302,0.3742346325508957,118.7883505849863,243918.0821603584,3.711081021724639,rock,8.7
37,Dissolution Wave,Cloakroom,0.3455461210991382,0.6208961887263015,7.14615741742956,-5.90902426661204,0.8929321563582951,0.007986416727677222,0.7057123376634994,0.11273438264271927,0.30028690600361035,110.73381900654266,286836.97586801613,4.016898739952088,rock,7.5
38,Planet EP,Squirrel Flower,0.27877212847999394,0.23251211596095794,6.811879128978587,-13.058396375170036,0.8573439591586774,0.9024958039551484,0.09129055706824228,0.13084718782347618,0.13941896742340898,116.31500995764664,216994.8572843447,2.9673245031676956,rock,6.8
39,11:11,Pinegrove,0.43325214923180483,0.4466284599496828,6.341069885331647,-8.748993140459135,1.0,0.4589373436970797,0.02176706041992453,0.11914824610570374,0.2637308309509855,115.88739149674574,245514.49476565974,3.797302081707066,rock,7.1
40,Laurel Hell,Mitski,0.48100444720982044,0.5016612929761556,5.852140652172019,-9.886568948665658,0.7041131949950566,0.2598511249180595,0.09552103010518623,0.11380116210712767,0.3646385039600515,129.84261706637912,181511.0222734637,4.069278990277847,rock,7.8
41,Little Green House,Anxious,0.37654540083093535,0.8743103760148275,5.766718220040302,-5.576795317903257,0.9165021934371035,0.06239306894824898,0.029740283514418007,0.30526021326925784,0.28392633316609583,152.7599652543392,207945.61963872556,4.0,rock,7.4
42,Last Room,waveform*,0.35233911711446736,0.6240618263502344,5.854760842301655,-5.033554285512313,1.0,0.28583505768212414,0.35755619468143546,0.19432328624635736,0.23816154857473584,124.25293173387831,163769.5911562492,3.7245433998180983,rock,6.5
43,Island of Noise,Modern Nature,0.47807563890981036,0.24923623037320908,6.182999670977702,-16.869593976884655,0.847958534463122,0.7198739517323416,0.6516586886759601,0.13094814089310788,0.2987988413964161,131.65543444427087,258124.27219395034,3.53302921316543,rock,7.8
44,Let England Shake - Demos,PJ Harvey,0.4274862233809215,0.3803529829433128,4.600227078437787,-11.697860422509068,0.4324816227118393,0.8693071518886716,0.2084873113767296,0.18545784207227387,0.30362440306589195,117.73474500664669,211664.6060505416,3.589499120570493,rock,7.6
45,Shoals,Palace,0.44422044945577804,0.5096604118730536,6.1901284896109585,-9.639027906983099,0.7377440324104891,0.2932042903528452,0.11925957667589614,0.1621455242438287,0.3507088127800389,127.09276912444615,258574.71512199187,3.694651634032243,rock,5.6
46,Havasu,Pedro the Lion,0.5850131382740548,0.457935522569621,4.913023096781673,-9.601343589935304,0.6796303406004508,0.36045816876536846,0.10666720200127862,0.10955111938699816,0.27416870404145377,103.4504991157981,246664.10115185674,4.0,rock,7.5
