,album_name,artist_name,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre,rating
0,Tigers Blood,Waxahatchee,0.6258011650465812,0.5787128466481978,5.597771671549533,-5.385081357350012,0.7595686233504535,0.2607449542972269,0.00021238696004160766,0.13655136463058207,0.4198104933489492,125.24428370858907,218849.70200314777,3.763590622875448,rock,8.8
1,Glasgow Eyes,The Jesus and Mary Chain,0.5594131921568306,0.6738986835583496,6.106235250203463,-8.331618743553603,0.6713791225490096,0.2587743354458136,0.12010073793516789,0.11165861228338919,0.34183369936285635,115.05107399731979,257491.11135769179,3.910070690237785,rock,6.5
2,Bright Future,Adrianne Lenker,0.45838838361490863,0.2061239417713451,3.9603654785404396,-12.008324719857612,1.0,0.9227873393905074,8.754199056422813e-05,0.12438909765989493,0.3874816913011614,119.31034861994101,234271.09405508926,3.783045262206245,rock,8.4
3,Deep Sage,Gouge Away,0.3526328399143947,0.917262189584699,6.602566710369028,-4.638413666467436,0.5107777734932326,7.656530181621873e-05,0.12569174647938922,0.2758131439671461,0.39556508358076575,138.24902931255542,213140.42766937878,3.839322966876181,rock,7.5
4,Where’s My Utopia?,Yard Act,0.5810144788537936,0.7339824361686076,5.412715866844151,-7.10214473133051,0.5682901161310734,0.2148323060927444,0.03013676633223232,0.43386956760785045,0.6812716531064591,120.00571218253238,260814.27825192537,4.0,rock,7.5
5,Flora Ocean Tiger Bloom,Meatbodies,0.37923972675756934,0.6613595799355945,4.458111802048944,-10.143245154423697,0.7867170593767537,0.07282803903806837,0.23826165995236387,0.20860832468184404,0.2604245167354236,128.95376871343709,319720.7450356064,3.9890234080134293,rock,7.6
6,The Collective,Kim Gordon,0.5197716743891794,0.6263803838746882,5.374949620188497,-7.143044349404443,0.40559161581534525,0.06092355504755486,0.29871253781161167,0.22301848122139933,0.1577416342862344,125.4665795533612,231218.6973709836,4.101042528966086,rock,8.5
7,Playing Favorites,Sheer Mag,0.429898024477048,0.8094432668751755,6.105336869708971,-3.878901122180135,0.7415420557868245,0.03942684408118641,0.17797110183767562,0.21866916350573018,0.5397769275257196,122.95691597381345,221285.00157129866,4.017084021785154,rock,6.7
8,Half Divorced,Pissed Jeans,0.36264689185776033,0.9672119350323768,7.717396795074707,-5.04447236140722,0.7283004675365928,0.006269338218590729,0.023203424160871632,0.40599549807150803,0.20756583205300289,149.10711632275135,190785.201076029,4.0,rock,7.3
9,Body of Work,Albert Hammond,0.6163063335926054,0.6287730674772892,3.999820002358394,-7.240028933132718,0.7545863966002839,0.3201066653665262,0.0002692130579756813,0.2062174346282581,0.49536130317158683,116.95553764388475,211604.05329177418,3.881284610570142,rock,5.0
10,Untame the Tiger,Mary Timony,0.5953164813018276,0.6175023544240232,3.38261538346039,-6.992761815705114,0.876977695325436,0.25205492400361357,0.022212926186533775,0.16094401592583293,0.4338443986396476,132.46893560097666,279153.6275872597,4.0,rock,7.6
11,New Miserable Experience,Gin Blossoms,0.5580442625916522,0.8030411460762106,5.078977791584111,-8.246611876345547,0.6360506022932768,0.010657789649190204,0.007082968589102863,0.1536288485253851,0.7239655367015821,134.7308200356482,236375.92925423456,4.0,rock,8.1
12,I Got Heaven,Mannequin Pussy,0.5060666050148523,0.8039909217795839,5.796455925694234,-7.349476059130334,0.69975658799873,0.007182075725844837,0.03655242120656553,0.2684433276686804,0.32294905413963865,121.49924652931499,197268.1547647082,4.0,rock,8.8
13,Daniel,Real Estate,0.5892206751923987,0.7361218252020407,2.93348920989429,-8.984187796925127,0.8646985607348842,0.1692530688428028,0.19211483342303173,0.12152300422488298,0.619510936924776,123.16269942806305,214544.07229283173,4.0775436951072,rock,6.9
14,The Past Is Still Alive,Hurray for the Riff Raff,0.6041654821667759,0.4834765261418726,3.3387594140884396,-9.713597676932736,1.0,0.6048257998354588,0.0018505252391626077,0.11875853150419173,0.5098333782837405,114.39342666835891,217363.563739753,3.869561472892638,rock,8.3
15,Spectral Evolution,Rafael Toral,0.0784,0.213,0.0,-14.78,1.0,0.933,0.951,0.0983,0.0324,74.237,2834000.0,3.0,rock,8.0
16,Rooting for Love,Laetitia Sadier,0.48741441930923607,0.471603140371891,6.518021149053144,-10.462612834584162,0.47280008062244994,0.37368483935459024,0.3173928147870495,0.1039510585082377,0.29430732732196835,111.1516576816186,259800.92466421585,4.0,rock,7.5
17,Loss of Life,MGMT,0.42997113620223204,0.7062072260659048,5.5227141308742285,-6.539733027099959,1.0,0.21397503142737206,0.08119104170945739,0.26631758805100175,0.3160021968755793,115.10753138775388,291637.73734087765,4.0,rock,6.9
18,On the Lips,Molly Lewis,0.45221385016601573,0.41709465569224113,3.860383426412406,-10.791389348531302,0.7101459157581386,0.3609406294604806,0.689509425369242,0.17079504797282685,0.347790055236811,128.7715454252166,203605.5953403641,3.6715880265116336,rock,7.6
19,Mother Engine,Amiture,0.5531874523384506,0.7081182299178864,5.727780078543377,-7.977097330953232,0.4710938950374866,0.3295317729330953,0.8071118775437344,0.19830740517672257,0.3639029121742235,122.0943743445198,249245.65605640842,4.0,rock,7.2
20,Blu Wav,Grandaddy,0.3533705771276002,0.3288276123516755,4.668118241145742,-11.106906185788166,0.8312879501283905,0.5304222284606716,0.4039765284227994,0.2078734515855771,0.15768964442226516,129.42555198824718,237300.16782407978,3.3060685776247425,rock,8.0
21,Hole in My Head,Laura Jane Grace,0.6303317280955041,0.6161022435559308,7.229769770473783,-5.877093531640441,1.0,0.4305255552950707,3.474340810550678e-05,0.1512736399760875,0.6194346508656563,118.55934826302196,141636.24044443923,3.794234558784265,rock,7.3
22,"Where we’ve been, Where we go from here",Friko,0.3174308138867146,0.5691020819370959,3.8521638778817073,-9.781084693055304,0.9039413218181123,0.4802506623850511,0.2109928138876371,0.3052781738620655,0.20228176232882492,131.52100734215273,246420.4157412101,4.0,rock,7.9
23,TANGK,Idles,0.5488357107842933,0.6689797699216926,4.354340831745647,-8.818744124455785,0.2791284744196617,0.2707145659985252,0.394351226904261,0.15448586008345822,0.3049654060149316,118.17232095422072,224730.6655640647,3.731344447273756,rock,6.7
24,Two Star & the Dream Police,Mk.gee,0.6642292819674727,0.44896325582993923,4.829036103109616,-10.622698407211358,0.694630583315194,0.8459088568452754,0.43022242458175414,0.1565663096087838,0.5123336542786426,122.24571686795896,177446.47833220678,4.0,rock,7.8
25,Walls Have Ears,Sonic Youth,0.24184612060542474,0.8111080534545034,5.915027215679779,-7.622669255748266,0.611126725447579,0.3975004865369278,0.6710691057636899,0.45707581568243094,0.10743165594059567,122.0879271764012,320145.27381358395,3.952912015786203,rock,7.8
26,What Now,Brittany Howard,0.5609547115901563,0.664261247637051,3.5550241931288045,-8.126867827040808,0.6374958810981426,0.4273039669967569,0.06420043904196512,0.13804699801425574,0.357678146841019,117.4725277848112,215165.65293352527,3.8852140094691388,rock,8.3
27,Forgot About Me,Pouty,0.48770215370860037,0.6942132784936487,7.274552125641045,-6.345535844554005,0.7191663301100095,0.05882628377382249,0.4279387821948193,0.1566580743117099,0.3477413153777182,104.93812266982141,182965.2638667693,3.6727926328382776,rock,7.5
28,Yerself Is Steam,Mercury Rev,0.22470638835863704,0.531543385243332,9.691065041799385,-12.059573554312463,0.6356124352471663,0.09281550878696432,0.5612913899408231,0.23721523176453546,0.13949351109836614,127.39121665106026,681968.865296477,3.98834529791078,rock,9.3
29,David Nance & Mowed Sound,David Nance,0.5792729548165435,0.5769303306109926,6.193131336848269,-10.952348191483166,0.6343578071896758,0.22839343226792275,0.07545330088122576,0.16548900691965832,0.5949896477986094,118.56783308256125,239061.0128973736,3.9690667564279356,rock,6.7
30,She Reaches Out to She Reaches Out to She,Chelsea Wolfe,0.3793249776453402,0.6711351806725506,4.403323024543808,-7.467091059725217,0.5224645435909083,0.10162086115149657,0.20227371110446166,0.15608179224100477,0.17457468549406419,121.0306809142174,259880.09745468895,4.00428372259059,rock,7.6
31,Prelude to Ecstasy,The Last Dinner Party,0.43523685889772734,0.5379414486310444,6.217244980711198,-7.253213795532236,0.7611116585785089,0.08927889531018784,0.07270730846083759,0.11524522315399377,0.27347357498723773,103.43163307375299,228701.92353217708,4.038776711921578,rock,6.5
32,The Interrogator,The Paranoid Style,0.5241931617771852,0.7961505076418901,5.3734347059301,-6.277408366190878,0.8579984241497008,0.17687076960445502,0.0023896277684295367,0.23820641294001027,0.7431094473947225,131.35684537194413,196816.58597772,4.0,rock,7.4
33,Spiel,Office Dog,0.47169964659795927,0.48861367064941225,7.443416516496217,-11.06073340279919,0.7060679303516874,0.05711855981010102,0.21050105675206462,0.13548048712930705,0.4026776659307903,152.04678202587493,213822.14553124068,3.7012145258378357,rock,7.5
34,Blue Raspberry,Katy Kirby,0.4940697806367174,0.338028234929652,2.742410872788789,-10.10150348650822,1.0,0.6386260822838565,0.008860329434814088,0.12099447071037225,0.33092904849174687,122.25398733143976,225970.28948504277,3.8307548923372527,rock,7.4
35,People Who Aren’t There Anymore,Future Islands,0.611585253962648,0.7042649028455883,4.515331055609703,-6.756003842521785,0.6048849289777679,0.07565904667640815,0.20709165591846881,0.13142683198099805,0.5265549336615519,130.58742968185135,223217.61506344329,4.0,rock,6.6
36,What Do We Do Now,J Mascis,0.4419670472940717,0.7510252339061344,7.261588184115023,-7.119308721385294,0.7198687804035051,0.190722472307686,0.01630545173678594,0.22918910686245345,0.3522350695531793,131.52173418215247,271012.79900290124,4.0,rock,6.4
37,We Blame Chicago,90 Day Men,0.35921943095035114,0.6340124185174266,6.497631713578692,-9.955809556202446,0.30668347011236036,0.12454952231501687,0.42149836108675803,0.14637853500524192,0.35131955470936077,121.14104319666984,357544.35626132536,3.9544265809044803,rock,7.4
38,What an Enormous Room,Torres,0.5019417953810167,0.5637335265539722,4.718751495980431,-7.518840592043407,0.8214104951712656,0.20468511411968493,0.059296648130725105,0.11418316061682497,0.28885051777770865,109.91174011700136,238293.20497406813,4.0,rock,7.0
39,Junk,Brion Gysin,0.7764816106658373,0.6260332133371657,5.943407043021139,-12.227158000320408,0.685172620141451,0.22400580631063616,0.38534804067147593,0.18787997289091815,0.7779973102953257,110.35263729195034,275598.5044228954,4.0,rock,8.0
40,Three Bells,Ty Segall,0.4718355668702648,0.6463100599937366,6.112320596859451,-8.74089074989226,0.691385755706242,0.015614906637618525,0.3506562604996721,0.1604016056627491,0.6257720368602091,118.9806008141367,279611.0436823233,4.0,rock,7.8
41,Temple IV,Roy Montgomery,0.262397498118036,0.3232035864879684,6.325641529007431,-15.809998505655301,0.8268077247153084,0.8396576688404704,0.8556984354741958,0.11289100007009006,0.0856049544884805,94.40222680481187,611013.0176469214,4.0,rock,8.5
42,Wall of Eyes,The Smile,0.40717615218928666,0.4339047253208998,4.000033850584989,-12.928449850726278,0.7636003923724329,0.5926867025335691,0.8024937472082467,0.103540914576577,0.34160004172452546,130.1027829136229,350460.7058862488,4.101257402055908,rock,8.5
43,EKKSTACY,EKKSTACY,0.4692052572202395,0.7125003821331953,5.986814884341357,-5.671691195326826,0.8472207158763673,0.07593944467993559,0.24503657224496664,0.16086903641617856,0.47741104962967545,139.64245142347147,156320.52610314352,4.0,rock,4.6
44,Melt the Honey,PACKS,0.5157869689756162,0.49027804529374197,6.220969030554485,-9.154121036768363,0.5570426572858471,0.2643180122372238,0.10079249634328633,0.20221396205396933,0.38153822685912236,118.73426203544224,158394.3537520843,4.0,rock,7.3
45,Saviors,Green Day,0.4937960572462253,0.8949040142717435,6.10303437422863,-3.413648475791385,0.820539844846544,0.003816585062733854,0.0006664392662169528,0.2301957413872604,0.563579787053076,142.4143572398552,190955.97151442195,4.0,rock,5.1
46,Film Noir,Bolts of Melody,0.4106436547315301,0.6996458714511825,4.051322970508946,-6.189784454089634,0.671396156779302,0.17508053355050698,0.8499363354768249,0.1956313631832052,0.25811048532456266,111.00468774799485,161348.1886942067,3.570716390648979,rock,7.0
47,Head Over Heels,Cocteau Twins,0.31861886079383894,0.8144376216817439,2.9987242227866386,-9.186233419163791,0.7457609606782104,0.0013902460229307477,0.6590340639254227,0.2861780630108162,0.11343136799254658,119.28823474435492,234145.22042285727,3.214366060013638,rock,9.6
48,99th Dream,Swervedriver,0.3319267932193522,0.6874760933886593,4.812929548018088,-11.007420515405997,0.7555801736084791,0.009768508538848607,0.17848222879309902,0.20938359314501112,0.32379474661719326,137.45371632926532,287292.92425625597,4.0,rock,8.0
