,album_name,artist_name,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre,rating
0,"The Land, the Water, the Sky",Black Belt Eagle Scout,0.2981837109500252,0.49600852715175664,3.772913231185012,-9.630647910368285,0.888094910906509,0.5070492063679516,0.4879672987022468,0.13645611419111583,0.30525014289456504,132.40117199882047,254602.00330593536,4.0,rock,7.5
1,Norm,Andy Shauf,0.587319979384277,0.24743715503023642,5.1040700018325085,-14.658931313450612,0.8452079897379513,0.6656047691039033,0.15919135581821514,0.1508594786512736,0.33384333241707903,117.1615387625985,188764.96608667765,4.0,rock,7.6
2,Breaking the Balls of History,Quasi,0.30862559837636705,0.7600438732664336,5.581258766490022,-5.352436737850942,0.7422329462171608,0.14959136746961327,0.1498446732352464,0.12539735785319653,0.2713389491487202,136.21217512955238,194979.2451748788,3.92062239260345,rock,6.3
3,Moments of Clarity,Narrow Head,0.39660531632223195,0.8195825162212367,3.8979504747899894,-5.982564327868,0.615004135813204,0.003653421701488244,0.6531890179040909,0.17781710812187615,0.2505208760339106,115.6067432307449,254451.22425639923,4.0,rock,6.6
4,Pollen,Tennis,0.5739649459835839,0.7204764864740336,4.290690971938169,-6.965265428929555,0.5687403441366166,0.22173812235947693,0.19406118638602016,0.09993907433475038,0.6594892822854929,135.19559577158986,220174.82146420266,3.90308498664282,rock,6.7
5,This Is Why,Paramore,0.6218065289074723,0.6245488786048781,5.876777460192334,-8.789053622633155,0.408927244145418,0.11484363390269023,0.043533330081099136,0.15446224374575648,0.4790260505815305,128.93357293685074,223007.16318501756,4.0,rock,6.3
6,This Stupid World,Yo La Tengo,0.5147463729844219,0.6126493283684067,2.7894786827001914,-9.325645818529653,1.0,0.36668711714266194,0.8239859637195955,0.1415235763528286,0.37522228955998904,128.70503676790105,352312.11911587865,4.152937961191582,rock,8.5
7,Anarchist Gospel,Sunny War,0.5138265518744711,0.5490351835412381,5.573022377486513,-6.779376407521482,0.8974564361198104,0.748982621170629,0.03465081415331568,0.17050361556424054,0.47885607793481605,129.44099106285415,239173.1998898151,3.940405694254015,rock,7.4
8,The Candle and the Flame,Robert Forster,0.5825161492005633,0.5082307804145341,5.409543096118295,-11.389763259088946,0.7790628219768665,0.20639599350386,0.08973804328193707,0.11848436762786914,0.5521568215546535,114.38930875795083,263740.46166300646,4.0,rock,7.5
9,Rush!,Måneskin,0.5494882174210771,0.7491955973392639,4.326602218457539,-3.8784290961931944,0.5618945363693741,0.040669535180092364,0.004499914938804271,0.13848853009445808,0.5201194722686499,129.36993889290346,190654.41738852594,3.8818742487149103,rock,2.0
10,Smalltown Stardust,King Tuff,0.542838293477294,0.5585807727609049,4.495173661815665,-8.379177366572135,0.8035663217370739,0.38190529211247504,0.0008397400886459651,0.13937618809765073,0.4334257219544902,106.48656819342672,227303.83640790076,4.0,rock,7.0
11,New York City,The Men,0.25378304542936336,0.8132324981101042,5.407819938195179,-6.264613033048386,0.9083389203896779,0.003569375668923019,0.21123177377234104,0.2560101870610143,0.3713410686393751,140.28638033980823,237242.0816016491,4.0,rock,7.1
12,The Waeve,The Waeve,0.48421409568228013,0.5169279177371181,3.8239905851027958,-10.864654478617746,0.8074467685080763,0.12396333734114927,0.08957681455983894,0.1560168439832573,0.28394602997813156,122.31549037300655,341806.4489892255,3.7738386061129083,rock,7.3
13,Living,mark william lewis,0.49047051812381687,0.5001697398864194,6.365491130898128,-8.862526607305616,0.3776905279394237,0.46150825772979037,0.47052997265652385,0.15988710649933394,0.17920521629390732,122.77036962770805,228034.46855500244,3.979457337166094,rock,7.6
14,Wendy,Will Epstein,0.41049517934780005,0.3216799982729649,5.66264593119684,-11.909982090733017,0.8600286007482947,0.7071632650035086,0.18024309676150385,0.18070005355553356,0.24930621641058434,113.21556502090978,253297.26290446313,3.754429561607835,rock,6.7
15,Let’s Start Here.,Lil Yachty,0.4050039939569795,0.6528307762231822,5.883707355794468,-6.3663083916161245,0.44646479812563944,0.262334590239684,0.317652992819083,0.3794805099787819,0.3449148232660943,122.0881405249583,270479.2784957162,3.9061760553462457,rock,6.0
16,Dead Meat,The Tubs,0.3219513535203285,0.8842509074691371,4.75921989282248,-7.378290129432158,1.0,0.012439694514036778,0.039575217646912235,0.2552541289925607,0.7890147731694553,155.2774209813382,197601.55180896408,3.7064151247199,rock,7.0
17,Blue Period,Beauty Pill,0.5055975259569426,0.6917813868500197,3.895253550073189,-7.489520110726969,0.7003571765917558,0.28739868102142113,0.23256629046500912,0.13884439021992687,0.3510960786221345,125.56833161517486,241791.47706041986,3.7600019659983417,rock,7.4
18,Every Acre,H.C. McEntire,0.6124051459977756,0.2675639473090185,5.198129459189987,-12.798200193012615,0.7137468482374347,0.6313238686783114,0.04871019558940588,0.10266384655314381,0.3150903986277096,116.44140625499782,254236.02207764552,3.883626736268185,rock,7.6
19,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17",Bob Dylan,0.5137254389981702,0.599291174643841,4.829377670113203,-8.45075219425335,0.6126589975589435,0.4777396555625392,0.031141091682586643,0.28444876862584595,0.4751435727127885,123.67943886082257,426313.0716228574,3.9018702187117547,rock,8.6
20,Honey,Samia ,0.5885467772771857,0.32522052825389436,4.2572762713836845,-11.063108704344067,1.0,0.6810147670030423,0.001314338286383435,0.15571484198101443,0.31760926293827196,105.96770330792506,228446.71784924605,3.9766479360276636,rock,6.5
21,One Day,Fucked Up,0.3635246782326987,0.9365877067626425,4.799691863111916,-5.585851274594618,1.0,0.0014327861426701282,0.09439913381668646,0.3613157462614765,0.3511546732220381,137.63019768993132,247770.6299908242,4.0,rock,7.5
22,Asking for a Ride,White Reaper,0.4207200911072242,0.8758568995498571,3.680348646363971,-4.444960492006261,0.5914248618034893,5.917098263296927e-05,0.03419881631224095,0.17146459160426036,0.3932748017106449,138.05542946882696,179265.9711832528,4.0,rock,6.5
23,Lobes,We Are Scientists,0.5413455980778665,0.8762839137739763,6.481559396017389,-4.525149357635421,0.7496347756129315,0.01288788954164962,6.192358074369423e-05,0.18132261809148342,0.5231340845744167,129.22497017322848,226278.45232966729,4.0,rock,6.0
24,Ace (50th Anniversary Deluxe Edition),Bob Weir,0.5228069696063633,0.635303813556963,4.392354055230373,-10.916633208569442,0.9692832915397768,0.12685069109196295,0.024488201561519058,0.42720059850971065,0.5816155291909189,125.67194666515583,428923.0510256915,3.9122400811396494,rock,7.6
