Unnamed: 0,artist,album_name,rating,album_link,genre
,['Mulatu Astatke'],['Mulatu Of Ethiopia'],['8.7'],['https://pitchfork.com/reviews/albums/23241-mulatu-of-ethiopia/'],['global']
,['MC Bin Laden'],['É Grau EP'],['7.7'],['https://pitchfork.com/reviews/albums/23259-mc-bin-laden-e-grau-ep/'],['global']
,['Orchestra Baobab'],['Tribute to Ndiouga Dieng'],['7.5'],['https://pitchfork.com/reviews/albums/23021-tribute-to-ndiouga-dieng/'],['global']
,['Janka Nabay and the Bubu Gang'],['Build Music'],['6.9'],['https://pitchfork.com/reviews/albums/23036-build-music/'],['global']
,['Wailing Souls'],['Wailing'],['8.7'],['https://pitchfork.com/reviews/albums/23024-wailing/'],['global']
,['Midori Takada'],['Through the Looking Glass'],['8.7'],['https://pitchfork.com/reviews/albums/22989-through-the-looking-glass/'],['global']
,['Erasmo Carlos'],"['Erasmo Carlos E Os Tremendões / Carlos, ERASMO... / Sonhos E Memórias 1941-1972']",['9.0'],['https://pitchfork.com/reviews/albums/22908-erasmo-carlos-e-os-tremendoes-carlos-erasmo-sonhos-e-memorias-1941-1972/'],['global']
,['Ibibio Sound Machine'],['Uyai'],['7.0'],['https://pitchfork.com/reviews/albums/22977-uyai/'],['global']
,['Tinariwen'],['Elwan'],['8.2'],['https://pitchfork.com/reviews/albums/22865-elwan/'],['global']
,['Gaye Su Akyol'],['Hologram İmparatorluğu'],['7.4'],['https://pitchfork.com/reviews/albums/22662-hologram-imparatorlugu/'],['global']
,['The Orchestra of Syrian Musicians'],['Africa Express Presents... The Orchestra of Syrian Musicians & Guests'],['8.0'],['https://pitchfork.com/reviews/albums/22679-africa-express-presents-the-orchestra-of-syrian-musicians-guests/'],['global']
,"[""Mark Ernestus' Ndagga Rhythm Force""]",['Yermande'],['8.0'],['https://pitchfork.com/reviews/albums/22461-yermande/'],['global']
,['Pat Thomas'],['Coming Home (Original Ghanaian Highlife & Afrobeat Classics 1967-1981)'],['7.2'],['https://pitchfork.com/reviews/albums/22372-coming-home-original-ghanaian-highlife-afrobeat-classics-1967-1981/'],['global']
,['Luísa Maita'],['Fio da Memória'],['7.7'],['https://pitchfork.com/reviews/albums/22435-fio-da-memoria/'],['global']
,['A Tribe Called Red'],['We Are the Halluci Nation'],['8.1'],['https://pitchfork.com/reviews/albums/22384-we-are-the-halluci-nation/'],['global']
,['M.I.A.'],['AIM'],['5.9'],['https://pitchfork.com/reviews/albums/22396-aim/'],['global']
,['Caetano Veloso'],['Caetano Veloso'],['9.4'],['https://pitchfork.com/reviews/albums/22255-caetano-veloso/'],['global']
,['Steve Lehman'],['Sélébéyone'],['8.1'],['https://pitchfork.com/reviews/albums/22239-selebeyone/'],['global']
,['Elza Soares'],['A Mulher do Fim do Mundo (The Woman at the End of the World)'],['8.4'],['https://pitchfork.com/reviews/albums/22173-a-mulher-do-fim-do-mundo-the-woman-at-the-end-of-the-world/'],['global']
,['Frankie Reyes'],['Boleros Valses y Mas'],['6.8'],['https://pitchfork.com/reviews/albums/22172-boleros-valses-y-mas/'],['global']
,['Max Romeo'],['Horror Zone'],['8.0'],['https://pitchfork.com/reviews/albums/22106-horror-zone/'],['global']
,['Vivien Goldman'],['Resolutionary (Songs 1979-1982)'],['8.5'],['https://pitchfork.com/reviews/albums/21895-resolutionary-songs-1979-1982/'],['global']
,['The Wailers'],['The Wailing Wailers'],['8.0'],['https://pitchfork.com/reviews/albums/21960-the-wailing-wailers/'],['global']
,['Debo Band'],['Ere Gobez'],['8.1'],['https://pitchfork.com/reviews/albums/21949-ere-gobez/'],['global']
,['Bacao Rhythm & Steel Band'],['55'],['7.4'],['https://pitchfork.com/reviews/albums/21908-55/'],['global']
,['Cluster'],['Cluster: 1971-1981'],['8.5'],['https://pitchfork.com/reviews/albums/21701-cluster-1971-1981/'],['global']
,['Konono N°1'],['Konono N°1 Meets Batida'],['6.8'],['https://pitchfork.com/reviews/albums/21696-konono-n1-meets-batida/'],['global']
,['Especia'],['Carta'],['6.5'],['https://pitchfork.com/reviews/albums/21621-carta/'],['global']
,['Rokia Traoré'],['Né So'],['5.8'],['https://pitchfork.com/reviews/albums/21556-ne-so/'],['global']
,['Africaine 808'],['Basar'],['7.9'],['https://pitchfork.com/reviews/albums/21398-basar/'],['global']
,['Mikael Tariverdiev'],['Film Music'],['8.0'],['https://pitchfork.com/reviews/albums/21385-film-music/'],['global']
,['Omar Souleyman'],['Bahdeni Nami'],['6.2'],['https://pitchfork.com/reviews/albums/20830-bahdeni-nami/'],['global']
,['Bomba Estéreo'],['Amanecer'],['6.8'],['https://pitchfork.com/reviews/albums/20662-amanecer/'],['global']
,['Major Lazer'],['Peace Is the Mission'],['7.4'],['https://pitchfork.com/reviews/albums/20519-peace-is-the-mission/'],['global']
,['Nozinja'],['Nozinja Lodge'],['6.9'],['https://pitchfork.com/reviews/albums/20538-nozinja-lodge/'],['global']
,['Africa Express'],"[""Africa Express Presents... Terry Riley's In C Mali""]",['8.1'],['https://pitchfork.com/reviews/albums/20145-africa-express-africa-express-presents-terry-rileys-in-c-mali/'],['global']
,['Lino Capra Vaccina'],['Antico Adagio'],['7.9'],['https://pitchfork.com/reviews/albums/20118-antico-adagio/'],['global']
,['William Onyeabor'],['Box Set'],['9.0'],['https://pitchfork.com/reviews/albums/20056-box-set/'],['global']
,['The Budos Band'],['Burnt Offering'],['7.3'],['https://pitchfork.com/reviews/albums/19815-the-budos-band-burnt-offering/'],['global']
,['Fela Kuti'],['London Scene/Shakara/Gentleman/Afrodisiac/Zombie/Upside Down/I.T.T.'],['8.6'],['https://pitchfork.com/reviews/albums/19772-fela-kuti-london-sceneshakaragentlemanafrodisiaczombieupside-downitt/'],['global']
,['Kasai Allstars'],['Beware the Fetish'],['7.2'],['https://pitchfork.com/reviews/albums/19557-kasai-allstars-beware-the-fetish/'],['global']
,['Major Lazer'],['Apocalypse Soon EP'],['5.8'],['https://pitchfork.com/reviews/albums/19047-major-lazer-apocalypse-soon-ep/'],['global']
,['Tinariwen'],['Emmaar'],['8.1'],['https://pitchfork.com/reviews/albums/18909-tinariwen-emmaar/'],['global']
,['William Onyeabor'],['Who Is William Onyeabor?'],['8.6'],['https://pitchfork.com/reviews/albums/18732-william-onyeabor-who-is-william-onyeabor/'],['global']
